Ad tent-qeblent?
Ad ten-tseɛfemt?
Ad tent-seɛfent?
Ad ten-tseggmeḍ?
Ad ten-tseggmem?
Ad tent-seggmen?
Ad tent-snegren.
Ad tent-sseɣlin.
Ad tent-tamnemt?
Ad tent-teddmeḍ?
Ad tent-teddmem?
Ad tent-tleqqem?
Ad tent-tqebleḍ?
Ad tent-tqeblem?
Ad tent-tseɛfeḍ?
Ad tent-tseɛfem?
Ad tent-tseggem?
Ad tent-twanseḍ?
Ad tent-twansem?
Ad ten-twansemt?
Ad tent-wansent?
Ad ten-yesseɣli.
D iṣiḍ i yeṣṣeḍ.
D kecc ay d Tom?
D kečč ay d Tom?
D kečč i d John?
D kečč i iɣelḍen
D kečč i xtareɣ.
D kečč i yebɣan.
D kečč i yeẓṛan.
D kem i d sseba.
D kemm i d Anna?
D kemm i iɣelḍen
D kemm i xtareɣ.
D kemm i yebɣan.
D kemmi a yemma?
D lawan ad ččeɣ.
D lawan ad ččen.
D lawan ad dduɣ.
D lawan ad nruḥ.
D lawan n yiḍes.
D lbira i yeswa.
D lɛebd ameksul.
D lǧemɛa wass-a?
D ljemɛa, ass-a?
D lweqt n rrwaḥ?
D lweqt n yiḍes.
D menhu tfeḍreḍ?
D mmi uqcic-nni.
D mmi-s n Paris.
D nekk ay yugin.
D nekk i yuḍnen.
D ṣṣeḥḥ, yemmut.
D ssuma igerzen.
D ta ay d tidet.
D ta i d ayla-k?
D ta i d ayla-m?
D ta i d tagara.
D ta i d taqṣit.
D ta i d tifrat.
D ta i d tudert.
D tafukt azekka?
D tafukt imir-a.
D tafukt, ass-a.
D taɣuṛi i bɣiɣ.
D taɣuri yuɛren.
D tajdidt kemmi?
D tamdakkelt-iw.
D tameddurt-inu.
D tameẓyant? Ih.
D tamihawt tmes.
D tidet bɣant-t?
D tidet ɣsent-t?
D tidet i tella.
D tidet neɣ ala?
D tidet tebɣa-t?
D tidet teɣs-it?
D tidet tzemred?
D tidet tzemreḍ?
D tidet tzemrem?
D tidet yebɣa-t?
D tidet yeɣs-it?
D tidet, mmuten.
D tidet, temmut.
D tidet, yemmut.
D tidet? Acuɣer?
D Timarikaniyin?
D timseḍsit kan.
D tinefcect kan.
D tisselbi waya.
D tizenzelt aya?
D tizet tzemrem?
D tuttra yelhan.
D wanwa ihedder?
D wanwa tefḍreḍ?
D wanwa tfeḍreḍ?
D win d win kan.
D win i d aɣbel.
D yiwen seg-neɣ?
D yiwen seg-sen.
D yiwet seg-sen.
Da ara neccucef.
Da ara nesgunfu.
Da ara nesleɣmu.
Da ara nessired.
Da ara nessiwel.
Da ay tettmahal?
Da ay ttmahalen?
Da ay txeddmemt?
Da ay yella Tom.
Da ay yettmahal?
Da i d amkan-iw.
Da i tettidireḍ?
Da i tettidirem?
Da i yeqqim Tom.
Da ikkat ounZaR.
Da ikkat outfel.
Da yernu imir-a.
Dacu ara teččeḍ?
Dacu ara teččem?
Dacu i txeddmeḍ?
Daɣ lant uguren?
Daɣ sɛan uguren?
Dagi i ttidireɣ.
Dan ad as-yales.
Dan ad kem-yenɣ.
Dan ad k-yeṣṣer.
Dan d amesniles.
Dayen ḥemmleɣ-k.
Dayen tefriḍ-tt?
Dayen, icaḍ-iyi.
Ddan ɣer Bgayet.
Ddan ɣer tbanka.
Ddan ɣer tkanna.
Ddan ɣer tmeɣra.
Ddan ɣer tnarit.
Ddan ɣer ucanṭi.
Ddan ɣer ugaṛaj.
Ddan ɣer umahil.
Ddan ɣer unafag.
Ddan ɣer usalay.
Ddan ɣer usanay.
Ddan ɣer wulzuz.
Ddan-d seg Swid.
Ddan-d yid-kent?
Ddant ad ḍḍsent.
Ddant ɣer Marie.
Ddant ɣer teẓgi.
Ddant ɣer ufrag.
Ddant ɣer ugnir.
Ddant ɣer wurti.
Ddant-d yid-wen?
Ḍḍef akka a Jim.
Ddem acu tebɣiḍ.
Ddem tin tebɣiḍ.
Ḍḍfeɣ-d aneɛruḍ.
Ḍḍfeɣ-d izi-nni.
Ddiɣ ɣer London.
Ddiɣ ɣer Nuṛwij.
Ddiɣ ɣer umahil.
Ddmem iḥezziben.
Ddmen akud-nsen.
Ddment-t zgelli.
Ddmen-tt zgelli.
Ddmet iḥezziben.
Ddmet lqec-nwen.
Ddren deg lehna.
Ddren deg lfeṛḥ.
Ddu ad tmellḥeḍ!
Ddu ad tqewwded!
Ddu akken iwata.
Ddu cemma-cemma.
Ddu ɣer tmesrit.
Ddu ɣer uɣerbaz.
Ddu ɣer usegnaf.
Ddu kan ar zdat.
Ddu seg yidis-a.
Ddum ɣer tḥanut!
Ddum ɣer tḥanut.
Ddumt yan yid-i.
Ddunit tettezzi.
Ddut ɣer tḥanut!
Ddut ɣer tḥanut.
Deffir-s i lliɣ.
Ḍefṛemt ṛṛay-iw.
Ḍefret itri-nni.
Deg lɣeṛḍ-nkent!
Deg-wen i tella.
Deg-wen i yella.
Ḍelleɣ s taqqet.
Derreɛ allen-ik.
Derreɛ allen-im.
Ḍeṛṛunt-d tlufa.
Ḍfer tirga-nnek.
Ḍfer tirga-nnem.
Dima ttwaḥeṛseɣ.
Din i ilul baba.
Din i llan imir?
Din i ten-ssneɣ.
Dindin iwala-yi.
Dindin yessusem.
Dindin yeẓṛa-yi.
Diri-t wurar-ik.
Diri-t wurar-im.
Dkiɣ Ṭum s aman.
Ḍleq iɣallen-ik.
Ḍleq iɣallen-im.
Drewceɣ fell-ak.
Drewceɣ fell-am.
Drewcent lxalat.
Drewcent tullas.
Ḍruɣ ad d-awḍen.
Duṛu ur tt-sɛiɣ.
Ɛaceɣ d aẓawali.
Ɛall tismaqalin.
Ɛaq, D acu d wa?
Ɛasem iman-nwen.
Ɛawed ɣeṛ-it-id.
Ɛawneɣ-t iḍelli.
Ečč ayen tebɣid.
Ečč ayen tebɣiḍ.
Ečč ayen teɣsed.
Ečč cclaḍa-inek.
Ečč cemma-cemma.
Ečč kra axir-ak.
Ečč lxeḍra-inek.
Ečč s leɛqel-ik.
Ečč s leɛqel-im.
Ečč tibidest-ik.
Ečč ugar igumma.
Ɛeddan seg ṭṭaq.
Ɛeddi ad teččeḍ.
Ɛeddi ɣer zdat !
Ɛeddimt ar tili!
Ɛejbeɣ-as i Tom.
Ɛejbeɣ-t imir-a.
Ɛelmeɣ s kullec.
Ɛelmen yess-neɣ?
Ɛeqleɣ taɣect-a.
Ɛerḍeɣ yagi aya.
Ɛerḍemt seksu-a.
Ɛerqent-iyi akk.
Ɛeyyen-as i Tom.
Ɛeyynent-aneɣ-d.
Ɛeyyuɣ s tefses.
Ɛeyyun s tefses.
Ɛeyyun s tɣawla.
Effeɣ tamurt-agi
Efk akud i wakud
Efk-as tapupilt!
Efk-d imedyaten.
Efk-iyi-d adlis.
Efk-iyi-d dduṛt.
Eg afran-nniḍen.
Eg asihaṛ yid-s.
Eg aya, ttxil-k!
Eg ayen iṣewben.
Eg kra s tɣawla!
Eg yid-s asihaṛ.
Ɛǧeb i yiman-ik.
Ɛǧeb i yiman-im.
Eǧǧ tammumt-nni.
Eǧǧ tiliẓri tuɣ.
Eǧǧ-asen-ten-id.
Eǧǧ-asent-tt-id.
Eǧǧ-it ad yadef.
Eǧǧ-it i tesmeḍ.
Eǧǧ-itt ad truḥ!
Eǧǧ-itt ad tṛuḥ.
Eǧǧ-iyi ad ẓreɣ.
Eǧǧ-iyi-iten-id.
Ɛijel-d ar daki.
Ɛisa iḥemmel-ik.
Ɛiwnemt Tatoeba!
Ejj-it ad yeddu.
Els ayen yeḥman.
Emilia tettadef.
Ɛni d imaynuten?
Ɛni d imeddukal?
Ɛni d timidiwin?
Ɛni la tettrumt?
Ɛni n Japu tina?
Ɛni tezwar-ikem?
Ɛni tezwar-iken?
Ɛni tfuk tmeɣra?
Ɛni yezwar-ikem?
Ɛni yezwar-iken?
Ɛni zwaren-kent?
Ɛni zwarent-kem?
Ɛni zwarent-ken?
Ɛqlet iman-nwen!
Ɛreḍ ad teṭṭseḍ.
Err tabagust-ik.
Err tabagust-im.
Err-d i usteqsi.
Err-d iḍan-nnek.
Err-d iḍan-nnem.
Erremt-as i Tom.
Err-iyi-d a Tom!
Ers-d seg wayis.
Ɛuddeɣ ad d-yas.
Ɛyan iɣallen-iw.
Ɛyiɣ aṭas ass-a.
Ɛyiɣ cwiṭ ass-a.
Ɛyiɣ i k-nedṛeɣ.
Ɛyiɣ seg tiddit.
Eyya-d tura dɣa.
F batta tḍessed?
Faḍil d asmetlu.
Faḍil seg Maṣer.
Fak aḍebsi-nnek.
Fak imensi-nnek.
Fak imensi-nnem.
Fak tawuri-nnek.
Fakeɣ-akent-ten.
Fakeɣ-asen-tent.
Fakeɣ-asent-ten.
Fakeɣ-awen-tent.
Fakken-akent-tt.
Fakken-asen-ten.
Fakken-asent-tt.
Fakken-awen-ten.
Fakken-iyi-tent.
Fakkent-aɣ-tent.
Fakkent-akent-t.
Fakkent-ak-tent.
Fakkent-am-tent.
Fakkent-asent-t.
Fakkent-asen-tt.
Fakkent-as-tent.
Fakkent-awen-tt.
Fakkent-iyi-ten.
Faṛes imuras-ik.
Faṛes taswiɛt-a!
Fehmeɣ tamaziɣt.
Fehmeɣ-t imir-a!
Fehmeɣ-t imir-a.
Feṛḥeɣ yes-kent.
Fernem s ttawil.
Feṛqeɣ-tent akk.
Feṛqen-tent akk.
Feṛqent-ten akk.
Fessus am waman.
Fessus nadam-iw.
Fessus yiles-is.
Ffeɣ-d ar beṛṛa!
Ffeɣ-iyi syagi !
Ffɣeɣ seg tmurt.
Ffɣemt tura kan.
Ffɣent ad ččent.
Ffi-d aman a iwi
Ffren fell-aneɣ.
Ffren fell-asen.
Ffren fell-awen.
Ffren-akent-ten.
Ffren-asen-tent.
Ffren-asent-ten.
Ffren-awen-tent.
Ffrent-akent-tt.
Ffrent-asen-ten.
Ffrent-asent-tt.
Ffrent-awen-ten.
Ffrent-iyi-tent.
Ffuden yeqcicen.
Fiḥel ad nennaɣ!
Fkan deg-i afus.
Fkan-aɣ-tent-id.
Fkan-akent-tent.
Fkan-akent-tent?
Fkan-akent-t-id.
Fkan-ak-tent-id.
Fkan-am-tent-id.
Fkan-asent-tent.
Fkan-asent-tent?
Fkan-asent-t-id.
Fkan-asen-tt-id.
Fkan-as-tent-id.
Fkan-awen-tt-id.
Fkan-iyi-ten-id.
Fkant-aɣ-ten-id.
Fkant-akent-ten.
Fkant-ak-ten-id.
Fkant-am-ten-id.
Fkant-asen-tent.
Fkant-asen-tent?
Fkant-asen-t-id.
Fkant-asent-ten.
Fkant-asent-ten?
Fkant-as-ten-id.
Fkant-awen-tent.
Fkant-awen-tent?
Fkant-awen-t-id.
Fkant-iyi-tt-id.
Fkiɣ-ak tabɣest.
Fkiɣ-akent-tent.
Fkiɣ-as idrimen.
Fkiɣ-as tansa-w.
Fkiɣ-asent-tent.
Fkiɣ-awent awal.
Fren mayed trid.
Fukeɣ adlis-nni.
Fuken adlis-nni.
Fukent tkukiyin!
Fukent-aɣ tekta.
Fukent-ak tekta.
Fukent-am tekta.
Fukent-as tekta.
Fukken yirgazen.
Fukken-aɣ waman.
Fukken-tent akk.
Fukkent-ten akk.
Ɣaḍen-kem widak?
Ɣaḍen-ken widak?
Ǧaɛfeṛ d axabit.
Gan deg-k laman.
Gan deg-m laman.
Gan lwajeb-nsen.
Gan tuɣdaṭ-nsen.
Gan-d tikukiyin.
Gani da ttxil-k!
Gan-iyi tafgurt.
Gant aɣan-nsent.
Gant-as aɛewwiq.
Ɣanzut Facebook.
Ɣari sen ayetma.
Ɣari tam ayetma.
Ɣas hennimt Tom.
Ɣas ini-d tidet.
Ɣas ur tteg aya!
Ǧeɛfer d ameksa.
Ɣelḍeɣ deg waya?
Ɣelqent taḥanut.
Ɣelqet tazewwut!
Gen akken iqwem.
Ɣeṛ akken iwata.
Ɣer amagrad-nni.
Ɣeṛ amagrad-nni.
Ɣer i umesɣiwan.
Ɣer-as i Smaɛil.
Ɣerč ujar sysen?
Ɣer-i neɣ ɣer-k?
Ɣer-iyi-d ticki.
Ɣer-k ay d-usiɣ.
Ɣer-m ay d-usiɣ.
Ɣer-s iṣurdiyen.
Ɣeṣben di tikli.
Get amahil-nwen.
Get ayen tebɣam.
Get ayen teɣsem.
Gezmeɣ aḍad-inu.
Ɣeẓneɣ, neɣ uhu?
Ɣeẓnen, a Jamal.
Ɣeẓnen, neɣ uhu?
Ɣezzifed fell-i.
Gezzment isekla.
Ǧǧan-aɣ-tent-id?
Ǧǧan-akent-t-id.
Ǧǧan-akent-t-id?
Ǧǧan-ak-tent-id.
Ǧǧan-ak-tent-id?
Ǧǧan-am-tent-id.
Ǧǧan-am-tent-id?
Ǧǧan-asent-t-id.
Ǧǧan-asen-tt-id.
Ǧǧan-asent-t-id?
Ǧǧan-asen-tt-id?
Ǧǧan-as-tent-id.
Ǧǧan-as-tent-id?
Ǧǧan-awen-d aya.
Ǧǧan-awen-tt-id.
Ǧǧan-awen-tt-id?
Gganeɣ s ibeddi.
Ǧǧan-iyi-ten-id.
Ǧǧan-iyi-ten-id?
Ǧǧant-aɣ-ten-id?
Ǧǧant-ak-ten-id.
Ǧǧant-ak-ten-id?
Ǧǧant-am-ten-id.
Ǧǧant-am-ten-id?
Ǧǧant-asen-t-id.
Ǧǧant-asen-t-id?
Ǧǧant-as-ten-id.
Ǧǧant-as-ten-id?
Ǧǧant-awen-t-id.
Ǧǧant-awen-t-id?
Ǧǧant-iyi-tt-id.
Ǧǧant-iyi-tt-id?
Ǧǧant-yaɣ-tt-id.
Ǧǧan-yaɣ-ten-id.
Ǧǧemt-aɣ-ten-id.
Ǧǧemt-asen-t-id.
Ǧǧemt-as-ten-id.
Ǧǧemt-d awennit.
Ǧǧemt-iyi-tt-id.
Ǧǧemt-tt teɣleq.
Ǧǧemt-tt temdel.
Ǧǧet-asent-t-id.
Ǧǧet-asen-tt-id.
Ǧǧet-as-tent-id.
Ǧǧet-iyi-ten-id.
Ǧǧet-t ad yadef.
Ǧǧet-tt ad tṛuḥ.
Giɣ axeddim-inu.
Giɣ aya seg wul.
Giɣ deg-k laman.
Giɣ deg-m laman.
Giɣ deg-s laman.
Giɣ nna yi nnan.
Giɣ-ak-d lqahwa.
Giɣ-am-d lqahwa.
Giɣ-d tikukiyin.
Ɣileɣ d win-inu.
Ɣileɣ teɛjeb-ik.
Ɣileɣ txeddmemt.
Ɣileɣ-t d ṭṭbib.
Ɣileɣ-t igerrez.
Gin am tmouRghi.
Ɣiwel-d ar daki.
Ɣlay wedlis-nni.
Ɣleq adlis-nnek.
Ɣleq admis-nnem.
Ɣleq aqemmuc-ik!
Ɣliɣ-d s tadist.
Ɣlin-d wafriwen.
Ɣlin-d yefriwen.
Ɣlin-d yiḥbuben.
Gma ɣur-s axxam.
Gma yesɛa aqjun.
Gma yesɛa axxam.
Gma yetla axxam.
Gma-nni ddaw-aw.
Ɣran-as i Yidir?
Ɣran-as-d i Tom.
Ɣran-d s usawal.
Ɣrant adlis-nni.
Ɣremt i usegnaf.
Ɣṛemt wayi tura.
Ɣret i temsulta!
Ɣret i yimsujji.
Ɣriɣ adlis-nnes.
Ɣriɣ i temsulta.
Ɣriɣ i tɣellist.
Ɣriɣ i yimsujji.
Ɣriɣ-as i memmi.
Ɣriɣ-d i uṭaksi.
Ɣriɣ-t s telqey.
Ɣseɣ ad n-adfeɣ.
Ɣseɣ ad tezhumt.
Ɣseɣ tasnasɣalt.
Ɣseɣ-t i wass-a.
Ɣsen ad temmted.
Ɣsen ad temmtem.
Ɣsen ad tt-ẓren?
Ɣsent ad t-ẓren?
Ɣsent takeṛṛust.
Ɣsent takeṛṛust?
Ɣucceɣ tasertit.
Ɣucceɣ tissisin.
Ɣunzut Facebook.
Ɣur-k ad idireɣ?
Ɣur-k ad teɣliḍ.
Ɣur-k iɣef-nnek.
Ɣur-k takeṛṛust!
Ɣur-m ad teɣliḍ.
Ɣur-m takeṛṛust!
Ɣur-s iṣurdiyen.
Ɣur-sen aselkim.
Ɣurwat imakaren.
Gzem-it ɣef sin.
Ḥader amruj-nni.
Ḥader iɣef-nnek.
Ḥadret aydi-nni!
Ha-t asakal-nni.
Ha-t usensu-nni.
Ha-t uxxam-nnes.
Hat-an uxxam-iw.
Ha-ten-a akk da.
Ha-ten-aya tura.
Ha-tt-an weḥd-s.
Ḥbes assensuref.
Ḥbes tura yakan.
Ḥbes-d ṭṭumubil!
Hḍeṛ i walebɛaḍ.
Ḥebbsent tissit.
Ḥebsem asxeṛxeṛ.
Ḥebsem asxewter.
Ḥebsem aṭṭeɛwej.
Ḥebsem tikerkas.
Ḥebsemt accetki.
Ḥebsemt ademmer.
Ḥebsemt amennuɣ.
Ḥebsemt aneɛṛuḍ.
Ḥebsemt awliwel.
Ḥebsent ddexxan.
Ḥebset akk tira.
Ḥebset amcetcew!
Ḥebset asxewter.
Ḥebset aṭṭeɛwej.
Ḥebset tikerkas.
Ḥebset tura kan.
Ḥedd ur ixeddem.
Hedremt yid-sen.
Heḍṛet s ttawil!
Heggaɣ i waffug.
Heggan i waffug.
Ḥeǧǧremt imir-a.
Ḥemleɣ amcic-ik.
Ḥemleɣ amcic-im.
Ḥemleɣ-kem aṭas.
Ḥemmelɣ Harvard.
Ḥemmleɣ acmumeḥ.
Ḥemmleɣ acqiṛew.
Ḥemmleɣ ad aruɣ.
Ḥemmleɣ ad cceɣ.
Ḥemmleɣ ad cfeɣ.
Ḥemmleɣ ad cnuɣ.
Ḥemmleɣ ad ḍseɣ.
Ḥemmleɣ ad gneɣ.
Ḥemmleɣ ad ɣreɣ.
Ḥemmleɣ ad ɣṛeɣ.
Ḥemmleɣ aɣerbaz.
Ḥemmleɣ aḥewwes.
Ḥemmleɣ akeffay.
Ḥemmleɣ amezruy.
Ḥemmleɣ assikel.
Ḥemmleɣ At Uqbu.
Ḥemmleɣ ccakula.
Ḥemmleɣ ccikula.
Ḥemmleɣ iberdan.
Ḥemmleɣ ibriden.
Ḥemmleɣ idlisen.
Ḥemmleɣ idrugen.
Ḥemmleɣ ifekren.
Ḥemmleɣ ileɣman.
Ḥemmleɣ ilsawen.
Ḥemmleɣ inaw-ik.
Ḥemmleɣ irgazen.
Ḥemmleɣ memmi-s.
Ḥemmleɣ Natasha.
Ḥemmleɣ tabyirt.
Ḥemmleɣ tadlaxt.
Ḥemmleɣ taɛṛabt.
Ḥemmleɣ taftist.
Ḥemmleɣ tagrest.
Ḥemmleɣ takrura.
Ḥemmleɣ takunin.
Ḥemmleɣ tapizza.
Ḥemmleɣ tasekla.
Ḥemmleɣ Tatoeba.
Ḥemmleɣ tusnakt.
Ḥemmleɣ yelli-k.
Ḥemmleɣ-k a Ken.
Ḥemmleɣ-k a Tom.
Ḥemmleɣ-ken akk.
Ḥemmleɣ-ten akk.
Ḥemmleɣ-tt aṭas.
Ḥemmlen ad cnun.
Ḥemmlen ad ɣren.
Ḥemmlen ifelfel.
Ḥemmlen tadlaxt.
Ḥemmlen takrura.
Ḥemmlen tasekla.
Ḥemmlen tufiṛat.
Ḥemmlen-k meṛṛa.
Ḥemmlen-kem akk.
Ḥemmlen-ken akk.
Ḥemmlent aḍeffu.
Ḥemmlent aẓawan.
Ḥemmlent igumma.
Ḥemmlen-t merra.
Ḥemmlent taẓuri.
Ḥemmlent urar-a.
Ḥemmlent-k aṭas.
Ḥemmlent-t aṭas.
Ḥercaw uglim-is.
Ḥercawet acemma.
Ḥeṛcen yibekkan.
Ḥerrek iman-ik !
Ḥerrek iman-im !
Ḥerrek s leɛqel.
Ḥerrek s ttawil.
Hey! Ufiɣ-tt-id!
Ḥkant-d tiseḍsa.
Hrawit tuyat-is.
Ḥulfaɣ i tuggdi.
Ḥusseɣ s leḥzen.
Ḥwaǧeɣ litteɛ-a.
Ḥwajeɣ ad ḍḍseɣ.
Ḥwajeɣ amsegdal.
Ḥwajeɣ asga-inu.
Ḥwajeɣ assemter.
Ḥwajeɣ tafakult.
Ḥwajeɣ tasiwant.
Ḥwajeɣ-k imir-a.
Ḥwajen ad ḍḍsen.
Ḥwajen iwiziwen.
Ḥwajen lemwansa?
Ḥwajent abugaṭu.
Ḥwajent idrimen.
Ḥwajent imsujji.
Ḥwajent tallalt.
Ḥwajent tasfeḍt.
Hwan tiseddaṛin.
I asen-d ɣer da?
I imeqranen kan.
I kečč, trid-tt?
I kemm, tessned?
I kemm, trid-tt?
I kenwi, tram-t?
I mantur tudert?
I netta, yusa-d?
I nɣer-as i Tom?
I tammidwa-nneɣ!
I tammidwa-nteɣ!
I tawyed imuras?
I tḍefred-iyi-d?
I tḍefreḍ-iyi-d?
I tḍefrem-iyi-d?
I tɛawnemt-aneɣ?
I tecbumt-d Tom?
I teḍḍsemt cwiṭ?
I teddud ed Tom?
I tedduḍ ed Tom?
I teddum ed Tom?
I tɛerḍed yiwen?
I tɛerḍed-d Tom?
I tɛerḍeḍ-d Tom?
I teqqimed cwiṭ?
I teqqimemt akk?
I tesseqsid Tom?
I tesseqsiḍ Tom?
I tesseqsim Tom?
I tezwired kecc?
I thennimt-tent?
I tqeyyled cwiṭ?
I trekbed yid-i?
I uɣerbaz, amek?
I usselɣu-nwent.
I wi tessawaled?
I wudem n Ṛebbi!
I yecbeḥ wass-a!
Iba yiwen ass-a?
Iban ad ɛeḍḍlen.
Iban ad iɛeḍḍel.
Iban ad tɛeḍḍel.
Iban kan teɛyam.
Iban kan teɛyid.
Iban kan xesfeɣ.
Iban tɛejbed-tt.
Iban tḥemmel ik.
Ibeddel axeddim.
Ibekkm-it Ṛebbi.
Iberdan regglen.
Ibka ran abanan.
Ibriden d laman!
Ibriden d laman.
Icab ucebbub-is.
Icaṭ-as i wassa.
Ičča aqeṛṛuy-is?
Ičča-d abbaɣ-iw.
Ičča-yi ufus-iw.
Icerreq tawwurt.
Icerreq-d yiṭij.
Icɣeb-ikent kra?
Iḍ yelhan a Dan.
Iḍ yelhan a Tom!
Iḍ yelhan a Tom.
Iḍan d imiɣisen.
Iḍan srin tayri.
Iḍaq lxaḍer-inu.
Iḍaren-ik umsen.
Iḍ-ayi ara bduɣ.
Idda-d Ṭum zwar.
Ideg-a d amihaw.
Idegdeg deg uḍaṛ
Iḍelli ay tedda.
Iḍelli d asigna.
Iḍelli d Lexmis.
Iḍelli i yemmut.
Iderreɛ uɣerbaz.
Idlisen-a n Tom.
Iɛedda nnig-sen.
Iɛedda wakud-ik.
Iɛeǧeb-iyi aṭas.
Iɛeyyu s tefses.
Iɛǧeb-ak waddal?
Iɛreq-iyi ubrid.
Ifakk-akent-ten.
Ifakk-asen-tent.
Ifakk-asent-ten.
Ifakk-awen-tent.
Iferreq iɣmisen.
Ifeẓ idammen-is.
Ifka-yi-d adlis.
Ifṛeq-itent akk.
Ifuḥ userwal-ik.
Ifuk ad teffɣed.
Ifuk ad tgedɛed.
Ifuk kra yellan.
Ifuk wakud-nnek.
Ifuk weqraḥ-nni?
Ifuk zzwaǧ-nneɣ.
Ifukk yemru-nni.
Ifukk-itent akk.
Ifulki warra-ad.
Ifulki yiɣrem-a.
Iga deg-k laman.
Iga deg-m laman.
Iga lwajeb-nnes.
Iga Sami agulen.
Iga-d tikukiyin.
Iɣaḍ-aɣ akk Tom.
Iɣaḍ-ikem winna?
Iɣaḍ-iken winna?
Iɣaḍ-iyi tamara.
Iɣawel di tikli.
Igen deg usensu.
Igeni d-aberkan.
Igerrez s tidet!
Igerrez uxxam-a.
Iɣeẓẓa-t weqjun.
Iɣeẓẓa-t yiffis.
Iɣil yeḍḍes Tom.
Iɣil-a, isem-is?
Iɣra-awen-d Tom?
Iɣsan-iw gersen.
Igujj ɣer Tokyo.
Ih a Tom, Dayen!
Ihegga i waffug.
Iḥemmel ad iɛum.
Iḥemmel ad iɣer.
Iḥemmel ifelfel.
Iḥemmel iksilen.
Iḥemmel iman-is.
Iḥemmel irgazen.
Iḥemmel tadlaxt.
Iḥemmel takrura.
Iḥemmel yemma-s.
Iḥemmel-aɣ baba.
Iḥemmel-d wasif.
Iḥemmel-ik aṭas.
Iḥemmel-it aṭas.
Iḥemmel-iyi Tom.
Iḥemmel-iyi Tom?
Ihi yeɛjeb-awen?
Ihi yeɛjeb-ikem?
Ihi yeɛjeb-iken?
Ihi, ad d-tased?
Ikecmeɣ unezgum?
Ikellex-iyi Tom.
Ikerrec-it uydi.
Ila kra n yemra.
Ila sin n yiḍan.
Ilaq ad ḥerrkeɣ.
Ilaq ad naf Tom.
Ilaq ad neg kra.
Ilaq ad teččemt.
Ilaq ad tɛejleḍ.
Ilaq ad tɛiwneḍ.
Ilaq ad tɛiwnem.
Ilaq ad tḥebseḍ.
Ilaq ad tṣebreḍ?
Ilaq-as akebbuḍ.
Ileḥḥu d uɣiwel.
Ileḥḥu di ṭṭlam.
Ileḥḥu s uɛijel.
Ileḥḥu s weɣṣab.
Ilel yella yers.
Ilemmed tacawit.
Ilemmed Taɛrabt.
Ili d iman-nnek.
Ili-k d amaglay.
Ili-k d aqesḥan!
Ili-kem d kemmi.
Ili-kem tjehded.
Ilimt deg lweqt.
Ilindi i d-tlul.
Ilit-ken telham.
Iluɛa-yas i Tom.
Imar n tmettant.
Imceḥ-d aɣebbar.
Imceḥ-it wemcic.
Imerreg-itt Tom.
Imir-a ad d-nas.
Imir-a ad d-tas.
Imir-a ad d-yas.
Imir-a ay yedda.
Imir-a d amgaru.
Imir-a d anebdu.
Imir-a ɛeqleɣ-k!
Imir-a, ad dduɣ.
Imir-a, d aẓɣal.
Imir-a, nneɣnaɣ.
Imir-a, sgunfut.
Imir-a, ssullin.
Imir-a, tḥeqqeɣ.
Imir-a, ukḍeɣ-t.
Imir-a, zewǧent.
Immut seg ɛeyyu.
Imsismeḍ yemdel.
Imudd-akent-ten.
Imudd-asen-tent.
Imudd-asent-ten.
Imudd-awen-tent.
Imuhel din Sami.
Imuras igerrzen!
Imuras igerrzen.
Imyar ad immuddu
Inalkamen banen.
In-as kan tidet.
Inayas i-taqcict
Inɛel anagraw-a.
Ineggef bih-bih.
Inexxez iman-is.
Infelwa uḍaṛ-is.
Inɣa-t uqerru-s.
Inɣa-yaɣ usetḥi.
Inɣa-yi usemmiḍ.
Ini-as ad yeṛju.
Ini-asen tidett.
Ini-d kan tidet.
Ini-d tidet kan.
Ini-d wi k-ilan!
Inimt-as azekka.
Init-aɣ-d tidet.
Ini-tasen iwacu.
Ini-yaɣ-d tidet.
Inqer uqacir-im.
Inuda ɣef tidet.
Iqemmer fell-as.
Iqemmer, yexser.
Iqerres fell-as.
Iqerres ɣef Tom.
Iqqel ar deffir.
Iqqes-it wezrem.
Iqṛeḥ-ikem lḥal?
Iqṛeḥ-iken lḥal?
Iqubel aɛdaw-is.
Iqwem tura akka?
Ira aselmad-nni.
Ira taqcict-nni.
Irab uxxam-nneɣ.
Iraɛ-aneɣ ubrid.
Ireffu s tefses.
Ireqq cwiṭ cwiṭ.
Irkasen-a n Tom.
Iroura d outchi.
Irra-yas taduli.
Irreẓ-as usagem.
Iru yerna yumen.
Iruḥ azekka-nni.
Iruḥ ɣer Fransa.
Iruḥ leqriḥ-nni.
Iṛuḥ Sami qbala.
Iruḥ sani n kra.
Iruḥ uqerruy-is.
Iruḥ ur d-ibrin.
Iruḥ ur d-yezzi.
Iṛuḥ wedfel-nni.
Iruḥ-iyi usirem.
Iruka-a n yemma.
Is k-inɣa uḥlig?
Is ten-d-tuzned?
Isafagen ɣlayit.
Isardasen muten.
Isat ɣef umawaɣ.
Isawel-as i Tom.
Isbek wallaɣ-is.
Iseggasen yezrin
Iseggem-aɣ-tent.
Iseggem-akent-t.
Iseggem-ak-tent.
Iseggem-am-tent.
Iseggem-asent-t.
Iseggem-asen-tt.
Iseggem-as-tent.
Iseggem-awen-tt.
Iseggem-itt akk.
